name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
uppsala,2021-04-17,14.1,-1.1,6.3,14.1,-4.8,4.5,-1.3,64.4,0,0,0,,0,0,35.9,24.7,24.7,1031,18.7,39.4,186.2,16.2,6,,2021-04-17T05:27:08,2021-04-17T20:12:27,0.12,Clear,Clear conditions throughout the day.,clear-day,"02486099999,02490099999,ESCM,02456099999,02443099999,02458099999,E4931,02481099999"
uppsala,2021-04-18,16,-1.9,6.9,16,-5.1,5.6,-1.5,62.5,0,0,0,,0,0,32.1,21.1,48.6,1030.3,0.6,40.2,218,19,6,,2021-04-18T05:24:14,2021-04-18T20:14:54,0.16,Clear,Clear conditions throughout the day.,clear-day,"02486099999,02482099999,02490099999,ESCM,02456099999,02443099999,02458099999,E4931,02481099999"
uppsala,2021-04-19,16,-2.8,7,16,-5.8,6,-1.2,60.7,0,0,0,,0,0,32.1,17.7,87.4,1028.4,0.8,41.4,221.5,19.3,6,,2021-04-19T05:21:21,2021-04-19T20:17:22,0.21,Clear,Clear conditions throughout the day.,clear-day,"02486099999,02490099999,ESCM,02456099999,02443099999,02458099999,E4931,02481099999"
uppsala,2021-04-20,15.8,-3.6,7.3,15.8,-3.6,7.1,-1,61.5,0,0,0,,0,0,20.9,13.9,136.7,1019.3,3,42.3,223.3,19.3,6,,2021-04-20T05:18:28,2021-04-20T20:19:50,0.26,Clear,Clear conditions throughout the day.,clear-day,"02486099999,02490099999,02456099999,02443099999,02458099999,E4931,02481099999,F4490"
uppsala,2021-04-21,14.8,1,7.7,14.8,-1.2,6.7,0,59.8,0.565,100,8.33,rain,1.9,0.6,35.8,21.1,196.1,1003,45,44.3,189.8,16.3,6,,2021-04-21T05:15:37,2021-04-21T20:22:17,0.31,"Rain, Partially cloudy",Becoming cloudy in the afternoon with rain or snow.,snow,"02486099999,02490099999,02456099999,02443099999,02458099999,E4931,02481099999"
uppsala,2021-04-22,4.3,0.2,1.7,0.5,-6,-2.8,1,95.2,7.147,100,75,"rain,snow",1.2,2.6,46.2,30.6,353.7,1004.6,90.6,26.1,50.1,4.1,1,,2021-04-22T05:12:46,2021-04-22T20:24:45,0.36,"Snow, Rain, Overcast",Cloudy skies throughout the day with a chance of rain or snow throughout the day.,snow,"02486099999,02490099999,ESCM,02456099999,02443099999,02458099999,E4931,02481099999"
uppsala,2021-04-23,8.2,0.1,3.7,4.4,-4.9,-0.6,-4.1,59.2,0.002,100,8.33,"rain,snow",0,1.6,46.6,35,329.2,1012.9,59.4,46,156.4,13.7,5,,2021-04-23T05:09:55,2021-04-23T20:27:13,0.41,"Snow, Rain, Partially cloudy",Partly cloudy throughout the day with rain or snow in the morning and afternoon.,rain,"02486099999,02490099999,ESCM,02456099999,02443099999,02458099999,E4931,02481099999,F4490"
uppsala,2021-04-24,5.3,-0.1,2.5,1.7,-5.5,-1.9,-3.7,64.3,0.379,100,8.33,rain,0,0.1,39.7,28.2,334.1,1017.4,66.9,45.9,116.9,9.9,4,,2021-04-24T05:07:06,2021-04-24T20:29:41,0.45,"Rain, Partially cloudy",Partly cloudy throughout the day with afternoon rain.,rain,"02486099999,02490099999,02456099999,02443099999,02458099999,E4931,02481099999"
uppsala,2021-04-25,4.3,-1.4,1.1,-0.2,-6.2,-3.4,-3.4,73.2,0.011,100,12.5,"rain,snow",0,0,43,35,341,1020,82.4,44.9,114.2,9.8,3,,2021-04-25T05:04:18,2021-04-25T20:32:10,0.48,"Snow, Rain, Partially cloudy",Partly cloudy throughout the day with rain or snow.,rain,"02486099999,02490099999,02456099999,02443099999,02458099999,E4931,02481099999"
uppsala,2021-04-26,5.6,-2.8,1.7,1.4,-5.7,-2.5,-3.8,68.3,0.002,100,4.17,"rain,snow",0,0,46.5,30.6,347.1,1018.4,70,45.4,77.4,6.7,2,,2021-04-26T05:01:30,2021-04-26T20:34:38,0.5,"Snow, Rain, Partially cloudy",Partly cloudy throughout the day with early morning snow or rain.,rain,"02486099999,02464099999,02460099999,02490099999,ESCM,02456099999,02443099999,02458099999,ESSA,E4931,02481099999"
